CD,Nombre,Latitud,Longitud,Dirección,CD
AV16,Pereira,4.802644,-75.832822,Centro de Distribucion Pereira,
AV33,Aguachica,8.298858,-73.617231,,AGUACHICA
AV22,Armenia,4.476094,-75.7092,KM 7 VIA AL CAIMO,ARMENIA
AV14,Autosur,4.651778,-74.143931,,
UD01,Autosur,4.658656,-74.066664,,
AV26,Bogotá,4.596453,-74.148856,AUTOPISTA SUR 36-40,Bogota
AV37,Barrancabermeja,7.041967,-73.828978,Entrada Retén,Barrancabermeja
AV56,Barranquilla,10.955817,-74.786456,,Las nieves
AV49,Barranquilla,10.948047,-74.837258,kRA 38 Cll 8 -216,BARRANQUILLA
AV03,Barranquilla,10.974686,-74.771936,DEPOSITO BAQ kRA 38 Cll 8 -216,BARRANQUILLA
AV31,Bosconia,9.970208,-73.889342,BOSCONIA,BOSCONIA
AV23,Bucaramanga,7.141372,-73.152872,KM 6 VIA CAFED MADRID,Bucaramanga
AV02,Bucaramanga,7.162578,-73.138314,Km 4 Via Cafe Madrid,Bucaramanga
Bodega 1,Cartagena,10.386683,-75.501964,Bodega Ceballos,
Bodega 2,Cartagena,10.376942,-75.503625,Bloc Port,
AV10,Cartagena,10.374478,-75.463156,cartagena,cartagena
AV40,Caucasia,7.975614,-75.202828,CL 5 20-01,CAUCASIA
AV20,Cúcuta,7.908339,-72.463717,Calle 9a No 5-65,Cúcuta
AV38,Curumaní,9.199086,-73.544011,CD3 CURUMANÍ Calle. 6 # 16-03,Curumaní
AV36,Fonseca,10.889917,-72.862917,KM 1 VIA DISTRACCION,FONSECA
AV17,Girardot,4.301378,-74.798261,Girardot,Girardot
AV25,Honda,5.205206,-74.739747,CL 15 # 13-102,CD HONDA
AV27,Ibague,4.415833,-75.180797,UBN.BERLIN MZ K,IBAGUE
AV55,Girardota,6.3887,-75.4478,,ANTIOQUIA
AV05,Itagui,6.168617,-75.618514,,
UD04,Itagui,6.261833,-75.593381,Avenida Colombia - 77B,Avenida Colombia
UD03,Itagui,6.199442,-75.586783,cr 51 # 9c sur -50,Aguacatala 2
UD02,Itagui,6.196375,-75.587775,cr 50gg # 12 sur -130,Aguacatala 1
UD01,Itagui,6.257503,-75.572558,,
AV45,Itagui,6.330436,-75.560167,Carrera 50 # 40 - 171,BELLO
AV05-1,Itagui,6.329169,-75.562169,CRA 54,BELLO
UN07,Itagui,6.321617,-75.556081,,
UNRN,Itagui,6.159197,-75.369536,Carrera 47 # 59A,Rionegro
AV52,Itagui,6.28345,-75.559508,,Aranjuez
AV32,Magangue,9.238381,-74.742989,Vial Al Rioa,MAGANGUE
AV39,Monteria,8.7295,-75.847328,,Monteria
AV15,Pasto,1.154189,-77.305711,Av Panamericana KM 9 Via Ipiales,Pasto
AV18,Neiva,2.915592,-75.285719,KR 5 9-75 SUR,Neiva
AV28,Popayan,2.502414,-76.559825,Manzana E Lote 3 al 12,Popayan
AV34,Puente Nacional,5.909672,-73.639067,Via Barbosa - Puente Nacional,Barbosa
AV30,Riohacha,11.522925,-72.94515,,
AV29,San Andres,12.581783,-81.7014,DEPOSITO SAI Calle 8,San Andres
AV35,San Gil,6.555942,-73.151278,Cerca de Coca - Cola,
AV11,Santa Marta,11.225206,-74.164217,Diag 38 8,Santa Marta
AV13,COROZAL,9.315136,-75.335433,CL 38,COROZAL
AV24,Yopal,5.280189,-72.427817,VIA A MORICHAL,YOPAL
AV04,Tibasosa,5.807142,-73.006556,KM 4 VIA SOGAMOSO,Tibasosa
AV42,Tunja,5.544456,-73.352553,Km 4 via a Duitama,
AV47,Sibate,4.541264,-74.251706,Sibate,Sibate
AV46,Yumbo 2,3.535408,-76.492858,Calle 15 N 25A -37 Autopista Cali-Yumbo,Yumbo
AV01,Yumbo,3.535411,-76.492861,Calle 15 N° 25 A 37 KM 6 Autopista Cali-Yumbo,Yumbo - Valle
AV06,Tocancipá,4.946467,-73.941175,Tocancipa,Bogotá
AV14,Techo,4.6514,-74.144653,,Techo
AV50,Calle 13,4.742992,-74.164592,SIBERIA,BOGOTA
AV12,Valledupar,10.447183,-73.242439,Cra 7A 43-59,Valledupar
AV19,Villavicencio,4.115817,-73.635186,Calle 1 #32-847,Villavicencio